student_id,club
6276752,Robotics Club
1922319,Cryptocurrency Club
1922319,Entrepreneur Club
1371517,Robotics Club
4381198,Entrepreneur Club
2950347,Robotics Club
3252006,Entrepreneur Club
2423417,Entrepreneur Club
1287073,CS Club
1287073,Robotics Club
7594841,CS Club
5147541,CS Club
8788863,Cryptocurrency Club
6990591,CS Club
5380854,Robotics Club
5380854,Entrepreneur Club
4777828,Cryptocurrency Club
6403945,Robotics Club
9812447,Cryptocurrency Club
5320724,CS Club
2681971,Robotics Club
5422090,Robotics Club
6402404,Robotics Club
2451072,Cryptocurrency Club
5060283,CS Club
1850316,Robotics Club
4379497,CS Club
4312766,CS Club
3595083,Robotics Club
6623351,CS Club
1881759,CS Club
8364426,Robotics Club
6227818,Robotics Club
1953047,Cryptocurrency Club
1953047,CS Club
1797815,CS Club
1437468,Robotics Club
2274224,Cryptocurrency Club
9451462,Robotics Club
1544961,CS Club
8479049,Robotics Club
8479049,CS Club
7539433,Cryptocurrency Club
4291483,Entrepreneur Club
5146920,Cryptocurrency Club
7688364,Entrepreneur Club
5233223,Robotics Club
5565579,Entrepreneur Club
2130550,Cryptocurrency Club
9593434,Cryptocurrency Club
5859118,CS Club
2609478,Entrepreneur Club
7923247,Entrepreneur Club
7923247,Robotics Club
2717886,Entrepreneur Club
2717886,CS Club
2359572,CS Club
7628141,Entrepreneur Club
5889075,Robotics Club
3436599,Entrepreneur Club
3106402,CS Club
7374039,Robotics Club
7374039,Cryptocurrency Club
1106245,Entrepreneur Club
6249079,Cryptocurrency Club
4169951,Cryptocurrency Club
4746616,Entrepreneur Club
7156293,Robotics Club
5941074,Cryptocurrency Club
5941074,Robotics Club
7203812,Cryptocurrency Club
6019501,Cryptocurrency Club
7523555,Entrepreneur Club
1952624,Cryptocurrency Club
9745276,CS Club
9745276,Entrepreneur Club
4594227,CS Club
8636888,Cryptocurrency Club
8636888,CS Club
5971491,Robotics Club
4246631,Cryptocurrency Club
4246631,CS Club
3514530,Cryptocurrency Club
1961648,CS Club
6267362,Entrepreneur Club
1347561,Entrepreneur Club
9904330,Robotics Club
3212134,Robotics Club
9624309,Cryptocurrency Club
4721982,Robotics Club
4721982,CS Club
3331407,CS Club
3331407,Cryptocurrency Club
3797340,Robotics Club
9510666,CS Club
9510666,Entrepreneur Club
8297271,Entrepreneur Club
8784285,Entrepreneur Club
5950252,Entrepreneur Club
8295500,Robotics Club
4152146,Entrepreneur Club
1822841,Cryptocurrency Club
6642433,Entrepreneur Club
8700230,Robotics Club
8933718,Cryptocurrency Club
5093777,CS Club
4332478,Entrepreneur Club
4332478,Cryptocurrency Club
3033551,Entrepreneur Club
4745396,Cryptocurrency Club
7482092,CS Club
5166434,Robotics Club
5959835,Robotics Club
6080795,Cryptocurrency Club
4200042,Entrepreneur Club
5825833,CS Club
9983275,Entrepreneur Club
3461368,Entrepreneur Club
3461368,Cryptocurrency Club
2099494,CS Club
9766510,Cryptocurrency Club
8376440,Cryptocurrency Club
5648981,Entrepreneur Club
4911245,Entrepreneur Club
8991343,Entrepreneur Club
8422895,Entrepreneur Club
4256879,CS Club
4256879,Cryptocurrency Club
1129796,Robotics Club
7749515,Entrepreneur Club
7749515,Robotics Club
5625499,Robotics Club
5625499,CS Club
2093682,Robotics Club
9430085,Cryptocurrency Club
8889819,Robotics Club
9210195,Entrepreneur Club
5709972,Cryptocurrency Club
4430516,Cryptocurrency Club
8402561,Cryptocurrency Club
8402561,Robotics Club
9611743,Cryptocurrency Club
8420374,CS Club
8864381,CS Club
2902638,Cryptocurrency Club
2902638,Entrepreneur Club
5609982,Entrepreneur Club
9473037,CS Club
2357864,Robotics Club
9529025,CS Club
4029221,CS Club
3541059,Cryptocurrency Club
8455472,Cryptocurrency Club
3001761,Cryptocurrency Club
7808748,Entrepreneur Club
5594273,Robotics Club
1284951,CS Club
7352348,Cryptocurrency Club
2736273,Cryptocurrency Club
4730188,CS Club
8485972,Entrepreneur Club
1146311,Entrepreneur Club
8119403,CS Club
2334159,Cryptocurrency Club
6260547,CS Club
3934148,Robotics Club
3836296,Robotics Club
4831484,CS Club
8813142,Entrepreneur Club
6752022,Cryptocurrency Club
4428595,Robotics Club
3765188,Entrepreneur Club
3790077,CS Club
7337741,Entrepreneur Club
7394098,Entrepreneur Club
7394098,CS Club
5162033,Robotics Club
1438008,Robotics Club
1438008,Entrepreneur Club
1932759,Robotics Club
1932759,Entrepreneur Club
5239597,Cryptocurrency Club
6799063,CS Club
6799063,Entrepreneur Club
6283185,Robotics Club
6982180,Cryptocurrency Club
